checked_at_utc,model_id,model_name,context_length,working,status_code,latency_s,output,error
2026-05-05T23:03:24.043237+00:00,openrouter/owl-alpha,Owl Alpha,1048756,True,200,15.156,OK,
2026-05-05T23:03:24.043237+00:00,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,NVIDIA: Nemotron 3 Nano Omni (free),256000,False,429,0.498,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,poolside/laguna-xs.2:free,Poolside: Laguna XS.2 (free),131072,False,429,0.406,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,poolside/laguna-m.1:free,Poolside: Laguna M.1 (free),131072,False,429,0.451,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,inclusionai/ling-2.6-1t:free,inclusionAI: Ling-2.6-1T (free),262144,False,429,0.425,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,tencent/hy3-preview:free,Tencent: Hy3 preview (free),262144,True,200,2.448,None,
2026-05-05T23:03:24.043237+00:00,baidu/qianfan-ocr-fast:free,Baidu: Qianfan-OCR-Fast (free),65536,False,429,0.409,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,google/gemma-4-26b-a4b-it:free,Google: Gemma 4 26B A4B  (free),262144,False,429,0.496,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,google/gemma-4-31b-it:free,Google: Gemma 4 31B (free),262144,False,429,0.495,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,google/lyria-3-pro-preview,Google: Lyria 3 Pro Preview,1048576,False,402,0.515,,"OpenRouter request failed with HTTP 402: Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits"
2026-05-05T23:03:24.043237+00:00,google/lyria-3-clip-preview,Google: Lyria 3 Clip Preview,1048576,False,402,0.496,,"OpenRouter request failed with HTTP 402: Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits"
2026-05-05T23:03:24.043237+00:00,nvidia/nemotron-3-super-120b-a12b:free,NVIDIA: Nemotron 3 Super (free),262144,False,429,0.525,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,minimax/minimax-m2.5:free,MiniMax: MiniMax M2.5 (free),196608,True,200,414.337,OK,
2026-05-05T23:03:24.043237+00:00,openrouter/free,Free Models Router,200000,True,200,2.276,OK,
2026-05-05T23:03:24.043237+00:00,liquid/lfm-2.5-1.2b-thinking:free,LiquidAI: LFM2.5-1.2B-Thinking (free),32768,False,429,0.532,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,liquid/lfm-2.5-1.2b-instruct:free,LiquidAI: LFM2.5-1.2B-Instruct (free),32768,False,429,0.456,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,nvidia/nemotron-3-nano-30b-a3b:free,NVIDIA: Nemotron 3 Nano 30B A3B (free),256000,False,429,0.395,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free),128000,False,429,0.424,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,qwen/qwen3-next-80b-a3b-instruct:free,Qwen: Qwen3 Next 80B A3B Instruct (free),262144,False,429,0.468,,OpenRouter request failed with HTTP 429: Provider returned error
2026-05-05T23:03:24.043237+00:00,nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free),128000,False,429,0.514,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,openai/gpt-oss-120b:free,OpenAI: gpt-oss-120b (free),131072,True,200,1.479,OK,
2026-05-05T23:03:24.043237+00:00,openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),131072,True,200,1.299,OK,
2026-05-05T23:03:24.043237+00:00,z-ai/glm-4.5-air:free,Z.ai: GLM 4.5 Air (free),131072,False,429,0.56,,OpenRouter request failed with HTTP 429: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day
2026-05-05T23:03:24.043237+00:00,qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free),262000,False,429,0.553,,OpenRouter request failed with HTTP 429: Provider returned error
2026-05-05T23:03:24.043237+00:00,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),32768,False,429,0.639,,OpenRouter request failed with HTTP 429: Provider returned error
2026-05-05T23:03:24.043237+00:00,meta-llama/llama-3.3-70b-instruct:free,Meta: Llama 3.3 70B Instruct (free),65536,False,429,0.538,,OpenRouter request failed with HTTP 429: Provider returned error
2026-05-05T23:03:24.043237+00:00,meta-llama/llama-3.2-3b-instruct:free,Meta: Llama 3.2 3B Instruct (free),131072,False,429,0.581,,OpenRouter request failed with HTTP 429: Provider returned error
2026-05-05T23:03:24.043237+00:00,nousresearch/hermes-3-llama-3.1-405b:free,Nous: Hermes 3 405B Instruct (free),131072,False,429,0.491,,OpenRouter request failed with HTTP 429: Provider returned error
